Grupo; Processo; Inst. Chegada; Tempo de Serviço; Inst. Atendimento; Tempo Perm. Fila 
Grupo 1 
1; 1; 6; 2; 6; 0 
1; 2; 6; 2; 8; 2 
1; 3; 6; 2; 10; 4 
1; 4; 6; 2; 12; 6 
1; 5; 6; 2; 14; 8 
1; 6; 6; 2; 16; 10 
1; 7; 6; 2; 18; 12 
1; 8; 6; 2; 20; 14 
1; 9; 6; 2; 22; 16 
1; 10; 6; 2; 24; 18 
1; 11; 6; 2; 26; 20 
1; 12; 6; 2; 28; 22 
1; 13; 6; 2; 30; 24 
1; 14; 6; 2; 32; 26 
1; 15; 6; 2; 34; 28 
1; 16; 6; 2; 36; 30 
1; 17; 6; 2; 38; 32 
1; 18; 6; 2; 40; 34 
1; 19; 6; 2; 42; 36 
1; 20; 6; 2; 44; 38 
1; 21; 6; 2; 46; 40 
1; 22; 6; 2; 48; 42 
1; 23; 6; 2; 50; 44 
1; 24; 6; 2; 52; 46 
1; 25; 6; 2; 54; 48 
1; 26; 6; 2; 56; 50 
1; 27; 6; 2; 58; 52 
1; 28; 6; 2; 60; 54 
1; 29; 6; 2; 62; 56 
1; 30; 6; 2; 64; 58 
1; 31; 6; 2; 66; 60 
1; 32; 6; 2; 68; 62 
1; 33; 6; 2; 70; 64 
1; 34; 6; 2; 72; 66 
1; 35; 6; 2; 74; 68 
1; 36; 6; 2; 76; 70 
1; 37; 6; 2; 78; 72 
1; 38; 6; 2; 80; 74 
1; 39; 6; 2; 82; 76 
1; 40; 6; 2; 84; 78 
1; 41; 6; 2; 86; 80 
1; 42; 6; 2; 88; 82 
1; 43; 6; 2; 90; 84 
1; 44; 6; 2; 92; 86 
1; 45; 6; 2; 94; 88 
1; 46; 6; 2; 96; 90 
1; 47; 6; 2; 98; 92 
1; 48; 6; 2; 100; 94 
1; 49; 6; 2; 102; 96 
1; 50; 6; 2; 104; 98 
1; 51; 6; 2; 106; 100 
1; 52; 6; 2; 108; 102 
1; 53; 6; 2; 110; 104 
1; 54; 6; 2; 112; 106 
1; 55; 6; 2; 114; 108 
1; 56; 6; 2; 116; 110 
1; 57; 6; 2; 118; 112 
1; 58; 6; 2; 120; 114 
1; 59; 6; 2; 122; 116 
1; 60; 6; 2; 124; 118 
1; 61; 6; 2; 126; 120 
1; 62; 6; 2; 128; 122 
1; 63; 6; 2; 130; 124 
1; 64; 6; 2; 132; 126 
1; 65; 6; 2; 134; 128 
1; 66; 6; 2; 136; 130 
1; 67; 6; 2; 138; 132 
1; 68; 6; 2; 140; 134 
1; 69; 6; 2; 142; 136 
1; 70; 6; 2; 144; 138 
1; 71; 6; 2; 146; 140 
1; 72; 6; 2; 148; 142 
1; 73; 6; 2; 150; 144 
1; 74; 6; 2; 152; 146 
1; 75; 6; 2; 154; 148 
1; 76; 6; 2; 156; 150 
1; 77; 6; 2; 158; 152 
1; 78; 6; 2; 160; 154 
1; 79; 6; 2; 162; 156 
1; 80; 6; 2; 164; 158 
1; 81; 6; 2; 166; 160 
1; 82; 6; 2; 168; 162 
1; 83; 6; 2; 170; 164 
1; 84; 6; 2; 172; 166 
1; 85; 6; 2; 174; 168 
1; 86; 6; 2; 176; 170 
1; 87; 6; 2; 178; 172 
1; 88; 6; 2; 180; 174 
1; 89; 6; 2; 182; 176 
1; 90; 6; 2; 184; 178 
1; 91; 6; 2; 186; 180 
1; 92; 6; 2; 188; 182 
1; 93; 6; 2; 190; 184 
1; 94; 6; 2; 192; 186 
1; 95; 6; 2; 194; 188 
1; 96; 6; 2; 196; 190 
1; 97; 6; 2; 198; 192 
1; 98; 6; 2; 200; 194 
1; 99; 6; 2; 202; 196 
1; 100; 6; 2; 204; 198 
1; 101; 6; 2; 206; 200 
1; 102; 6; 2; 208; 202 
1; 103; 6; 2; 210; 204 
1; 104; 6; 2; 212; 206 
1; 105; 6; 2; 214; 208 
1; 106; 6; 2; 216; 210 
1; 107; 6; 2; 218; 212 
1; 108; 6; 2; 220; 214 
1; 109; 6; 2; 222; 216 
1; 110; 6; 2; 224; 218 
1; 111; 6; 2; 226; 220 
1; 112; 6; 2; 228; 222 
1; 113; 6; 2; 230; 224 
1; 114; 6; 2; 232; 226 
1; 115; 6; 2; 234; 228 
1; 116; 6; 2; 236; 230 
1; 117; 6; 2; 238; 232 
1; 118; 6; 2; 240; 234 
1; 119; 6; 2; 242; 236 
1; 120; 6; 2; 244; 238 
1; 121; 6; 2; 246; 240 
1; 122; 6; 2; 248; 242 
1; 123; 6; 2; 250; 244 
1; 124; 6; 2; 252; 246 
1; 125; 6; 2; 254; 248 
1; 126; 6; 2; 256; 250 
1; 127; 6; 2; 258; 252 
1; 128; 6; 2; 260; 254 
1; 129; 6; 2; 262; 256 
1; 130; 6; 2; 264; 258 
1; 131; 6; 2; 266; 260 
1; 132; 6; 2; 268; 262 
1; 133; 6; 2; 270; 264 
1; 134; 6; 2; 272; 266 
1; 135; 6; 2; 274; 268 
1; 136; 6; 2; 276; 270 
1; 137; 6; 2; 278; 272 
1; 138; 6; 2; 280; 274 
1; 139; 6; 2; 282; 276 
1; 140; 6; 2; 284; 278 
1; 141; 6; 2; 286; 280 
1; 142; 6; 2; 288; 282 
1; 143; 6; 2; 290; 284 
1; 144; 6; 2; 292; 286 
1; 145; 6; 2; 294; 288 
1; 146; 6; 2; 296; 290 
1; 147; 6; 2; 298; 292 
1; 148; 6; 2; 300; 294 
1; 149; 6; 2; 302; 296 
1; 150; 6; 2; 304; 298 
1; 151; 6; 2; 306; 300 
1; 152; 6; 2; 308; 302 
1; 153; 6; 2; 310; 304 
1; 154; 6; 2; 312; 306 
1; 155; 6; 2; 314; 308 
1; 156; 6; 2; 316; 310 
1; 157; 6; 2; 318; 312 
1; 158; 6; 2; 320; 314 
1; 159; 6; 2; 322; 316 
1; 160; 6; 2; 324; 318 
1; 161; 6; 2; 326; 320 
1; 162; 6; 2; 328; 322 
1; 163; 6; 2; 330; 324 
1; 164; 6; 2; 332; 326 
1; 165; 6; 2; 334; 328 
1; 166; 6; 2; 336; 330 
1; 167; 6; 2; 338; 332 
1; 168; 6; 2; 340; 334 
1; 169; 6; 2; 342; 336 
1; 170; 6; 2; 344; 338 
1; 171; 6; 2; 346; 340 
1; 172; 6; 2; 348; 342 
1; 173; 6; 2; 350; 344 
1; 174; 6; 2; 352; 346 
1; 175; 6; 2; 354; 348 
1; 176; 6; 2; 356; 350 
1; 177; 6; 2; 358; 352 
1; 178; 6; 2; 360; 354 
1; 179; 6; 2; 362; 356 
1; 180; 6; 2; 364; 358 
1; 181; 6; 2; 366; 360 
1; 182; 6; 2; 368; 362 
1; 183; 6; 2; 370; 364 
1; 184; 6; 2; 372; 366 
1; 185; 6; 2; 374; 368 
1; 186; 6; 2; 376; 370 
1; 187; 6; 2; 378; 372 
1; 188; 6; 2; 380; 374 
1; 189; 6; 2; 382; 376 
1; 190; 6; 2; 384; 378 
1; 191; 6; 2; 386; 380 
1; 192; 6; 2; 388; 382 
1; 193; 6; 2; 390; 384 
1; 194; 6; 2; 392; 386 
1; 195; 6; 2; 394; 388 
1; 196; 6; 2; 396; 390 
1; 197; 6; 2; 398; 392 
1; 198; 6; 2; 400; 394 
1; 199; 6; 2; 402; 396 
1; 200; 6; 2; 404; 398 
1; 201; 6; 2; 406; 400 
1; 202; 6; 2; 408; 402 
1; 203; 6; 2; 410; 404 
1; 204; 6; 2; 412; 406 
1; 205; 6; 2; 414; 408 
1; 206; 6; 2; 416; 410 
1; 207; 6; 2; 418; 412 
1; 208; 6; 2; 420; 414 
1; 209; 6; 2; 422; 416 
1; 210; 6; 2; 424; 418 
1; 211; 6; 2; 426; 420 
1; 212; 6; 2; 428; 422 
1; 213; 6; 2; 430; 424 
1; 214; 6; 2; 432; 426 
1; 215; 6; 2; 434; 428 
1; 216; 6; 2; 436; 430 
1; 217; 6; 2; 438; 432 
1; 218; 6; 2; 440; 434 
1; 219; 6; 2; 442; 436 
1; 220; 6; 2; 444; 438 
1; 221; 6; 2; 446; 440 
1; 222; 6; 2; 448; 442 
1; 223; 6; 2; 450; 444 
1; 224; 6; 2; 452; 446 
1; 225; 6; 2; 454; 448 
1; 226; 6; 2; 456; 450 
1; 227; 6; 2; 458; 452 
1; 228; 6; 2; 460; 454 
1; 229; 6; 2; 462; 456 
1; 230; 6; 2; 464; 458 
1; 231; 6; 2; 466; 460 
1; 232; 6; 2; 468; 462 
1; 233; 6; 2; 470; 464 
1; 234; 6; 2; 472; 466 
1; 235; 6; 2; 474; 468 
1; 236; 6; 2; 476; 470 
1; 237; 6; 2; 478; 472 
1; 238; 6; 2; 480; 474 
1; 239; 6; 2; 482; 476 
1; 240; 6; 2; 484; 478 
1; 241; 6; 2; 486; 480 
1; 242; 6; 2; 488; 482 
1; 243; 6; 2; 490; 484 
1; 244; 6; 2; 492; 486 
1; 245; 6; 2; 494; 488 
1; 246; 6; 2; 496; 490 
1; 247; 6; 2; 498; 492 
1; 248; 6; 2; 500; 494 
1; 249; 6; 2; 502; 496 
1; 250; 6; 2; 504; 498 
1; 251; 6; 2; 506; 500 
1; 252; 6; 2; 508; 502 
1; 253; 6; 2; 510; 504 
1; 254; 6; 2; 512; 506 
1; 255; 6; 2; 514; 508 
1; 256; 6; 2; 516; 510 
1; 257; 6; 2; 518; 512 
1; 258; 6; 2; 520; 514 
1; 259; 6; 2; 522; 516 
1; 260; 6; 2; 524; 518 
1; 261; 6; 2; 526; 520 
1; 262; 6; 2; 528; 522 
1; 263; 6; 2; 530; 524 
1; 264; 6; 2; 532; 526 
1; 265; 6; 2; 534; 528 
1; 266; 6; 2; 536; 530 
1; 267; 6; 2; 538; 532 
1; 268; 6; 2; 540; 534 
1; 269; 6; 2; 542; 536 
1; 270; 6; 2; 544; 538 
1; 271; 6; 2; 546; 540 
1; 272; 6; 2; 548; 542 
1; 273; 6; 2; 550; 544 
1; 274; 6; 2; 552; 546 
1; 275; 6; 2; 554; 548 
1; 276; 6; 2; 556; 550 
1; 277; 6; 2; 558; 552 
1; 278; 6; 2; 560; 554 
1; 279; 6; 2; 562; 556 
1; 280; 6; 2; 564; 558 
1; 281; 6; 2; 566; 560 
1; 282; 6; 2; 568; 562 
1; 283; 6; 2; 570; 564 
1; 284; 6; 2; 572; 566 
1; 285; 6; 2; 574; 568 
1; 286; 6; 2; 576; 570 
1; 287; 6; 2; 578; 572 
1; 288; 6; 2; 580; 574 
1; 289; 6; 2; 582; 576 
1; 290; 6; 2; 584; 578 
1; 291; 6; 2; 586; 580 
1; 292; 6; 2; 588; 582 
1; 293; 6; 2; 590; 584 
1; 294; 6; 2; 592; 586 
1; 295; 6; 2; 594; 588 
1; 296; 6; 2; 596; 590 
1; 297; 6; 2; 598; 592 
1; 298; 6; 2; 600; 594 
1; 299; 6; 2; 602; 596 
1; 300; 6; 2; 604; 598 
1; 301; 6; 2; 606; 600 
1; 302; 6; 2; 608; 602 
1; 303; 6; 2; 610; 604 
1; 304; 6; 2; 612; 606 
1; 305; 6; 2; 614; 608 
1; 306; 6; 2; 616; 610 
1; 307; 6; 2; 618; 612 
1; 308; 6; 2; 620; 614 
1; 309; 6; 2; 622; 616 
1; 310; 6; 2; 624; 618 
1; 311; 6; 2; 626; 620 
1; 312; 6; 2; 628; 622 
1; 313; 6; 2; 630; 624 
1; 314; 6; 2; 632; 626 
1; 315; 6; 2; 634; 628 
1; 316; 6; 2; 636; 630 
1; 317; 6; 2; 638; 632 
1; 318; 6; 2; 640; 634 
1; 319; 6; 2; 642; 636 
1; 320; 6; 2; 644; 638 
1; 321; 6; 2; 646; 640 
1; 322; 6; 2; 648; 642 
1; 323; 6; 2; 650; 644 
1; 324; 6; 2; 652; 646 
1; 325; 6; 2; 654; 648 
1; 326; 6; 2; 656; 650 
1; 327; 6; 2; 658; 652 
1; 328; 6; 2; 660; 654 
1; 329; 6; 2; 662; 656 
1; 330; 6; 2; 664; 658 
1; 331; 6; 2; 666; 660 
1; 332; 6; 2; 668; 662 
1; 333; 6; 2; 670; 664 
1; 334; 6; 2; 672; 666 
1; 335; 6; 2; 674; 668 
1; 336; 6; 2; 676; 670 
1; 337; 6; 2; 678; 672 
1; 338; 6; 2; 680; 674 
1; 339; 6; 2; 682; 676 
1; 340; 6; 2; 684; 678 
1; 341; 6; 2; 686; 680 
1; 342; 6; 2; 688; 682 
1; 343; 6; 2; 690; 684 
1; 344; 6; 2; 692; 686 
1; 345; 6; 2; 694; 688 
1; 346; 6; 2; 696; 690 
1; 347; 6; 2; 698; 692 
1; 348; 6; 2; 700; 694 
1; 349; 6; 2; 702; 696 
1; 350; 6; 2; 704; 698 
1; 351; 6; 2; 706; 700 
1; 352; 6; 2; 708; 702 
1; 353; 6; 2; 710; 704 
1; 354; 6; 2; 712; 706 
1; 355; 6; 2; 714; 708 
1; 356; 6; 2; 716; 710 
1; 357; 6; 2; 718; 712 
1; 358; 6; 2; 720; 714 
1; 359; 6; 2; 722; 716 
1; 360; 6; 2; 724; 718 
1; 361; 6; 2; 726; 720 
1; 362; 6; 2; 728; 722 
1; 363; 6; 2; 730; 724 
1; 364; 6; 2; 732; 726 
1; 365; 6; 2; 734; 728 
1; 366; 6; 2; 736; 730 
1; 367; 6; 2; 738; 732 
1; 368; 6; 2; 740; 734 
1; 369; 6; 2; 742; 736 
1; 370; 6; 2; 744; 738 
1; 371; 6; 2; 746; 740 
1; 372; 6; 2; 748; 742 
1; 373; 6; 2; 750; 744 
1; 374; 6; 2; 752; 746 
1; 375; 6; 2; 754; 748 
1; 376; 6; 2; 756; 750 
1; 377; 6; 2; 758; 752 
1; 378; 6; 2; 760; 754 
1; 379; 6; 2; 762; 756 
1; 380; 6; 2; 764; 758 
1; 381; 6; 2; 766; 760 
1; 382; 6; 2; 768; 762 
1; 383; 6; 2; 770; 764 
1; 384; 6; 2; 772; 766 
1; 385; 6; 2; 774; 768 
1; 386; 6; 2; 776; 770 
1; 387; 6; 2; 778; 772 
1; 388; 6; 2; 780; 774 
1; 389; 6; 2; 782; 776 
1; 390; 6; 2; 784; 778 
1; 391; 6; 2; 786; 780 
1; 392; 6; 2; 788; 782 
1; 393; 6; 2; 790; 784 
1; 394; 6; 2; 792; 786 
1; 395; 6; 2; 794; 788 
1; 396; 6; 2; 796; 790 
1; 397; 6; 2; 798; 792 
1; 398; 6; 2; 800; 794 
1; 399; 6; 2; 802; 796 
1; 400; 6; 2; 804; 798 
1; 401; 6; 2; 806; 800 
1; 402; 6; 2; 808; 802 
1; 403; 6; 2; 810; 804 
1; 404; 6; 2; 812; 806 
1; 405; 6; 2; 814; 808 
1; 406; 6; 2; 816; 810 
1; 407; 6; 2; 818; 812 
1; 408; 6; 2; 820; 814 
1; 409; 6; 2; 822; 816 
1; 410; 6; 2; 824; 818 
1; 411; 6; 2; 826; 820 
1; 412; 6; 2; 828; 822 
1; 413; 6; 2; 830; 824 
1; 414; 6; 2; 832; 826 
1; 415; 6; 2; 834; 828 
1; 416; 6; 2; 836; 830 
1; 417; 6; 2; 838; 832 
1; 418; 6; 2; 840; 834 
1; 419; 6; 2; 842; 836 
1; 420; 6; 2; 844; 838 
1; 421; 6; 2; 846; 840 
1; 422; 6; 2; 848; 842 
1; 423; 6; 2; 850; 844 
1; 424; 6; 2; 852; 846 
1; 425; 6; 2; 854; 848 
1; 426; 6; 2; 856; 850 
1; 427; 6; 2; 858; 852 
1; 428; 6; 2; 860; 854 
1; 429; 6; 2; 862; 856 
1; 430; 6; 2; 864; 858 
1; 431; 6; 2; 866; 860 
1; 432; 6; 2; 868; 862 
1; 433; 6; 2; 870; 864 
1; 434; 6; 2; 872; 866 
1; 435; 6; 2; 874; 868 
1; 436; 6; 2; 876; 870 
1; 437; 6; 2; 878; 872 
1; 438; 6; 2; 880; 874 
1; 439; 6; 2; 882; 876 
1; 440; 6; 2; 884; 878 
1; 441; 6; 2; 886; 880 
1; 442; 6; 2; 888; 882 
1; 443; 6; 2; 890; 884 
1; 444; 6; 2; 892; 886 
1; 445; 6; 2; 894; 888 
1; 446; 6; 2; 896; 890 
1; 447; 6; 2; 898; 892 
1; 448; 6; 2; 900; 894 
1; 449; 6; 2; 902; 896 
1; 450; 6; 2; 904; 898 
1; 451; 6; 2; 906; 900 
1; 452; 6; 2; 908; 902 
1; 453; 6; 2; 910; 904 
1; 454; 6; 2; 912; 906 
1; 455; 6; 2; 914; 908 
1; 456; 6; 2; 916; 910 
1; 457; 6; 2; 918; 912 
1; 458; 6; 2; 920; 914 
1; 459; 6; 2; 922; 916 
1; 460; 6; 2; 924; 918 
1; 461; 6; 2; 926; 920 
1; 462; 6; 2; 928; 922 
1; 463; 6; 2; 930; 924 
1; 464; 6; 2; 932; 926 
1; 465; 6; 2; 934; 928 
1; 466; 6; 2; 936; 930 
1; 467; 6; 2; 938; 932 
1; 468; 6; 2; 940; 934 
1; 469; 6; 2; 942; 936 
1; 470; 6; 2; 944; 938 
1; 471; 6; 2; 946; 940 
1; 472; 6; 2; 948; 942 
1; 473; 6; 2; 950; 944 
1; 474; 6; 2; 952; 946 
1; 475; 6; 2; 954; 948 
1; 476; 6; 2; 956; 950 
1; 477; 6; 2; 958; 952 
1; 478; 6; 2; 960; 954 
1; 479; 6; 2; 962; 956 
1; 480; 6; 2; 964; 958 
1; 481; 6; 2; 966; 960 
1; 482; 6; 2; 968; 962 
1; 483; 6; 2; 970; 964 
1; 484; 6; 2; 972; 966 
1; 485; 6; 2; 974; 968 
1; 486; 6; 2; 976; 970 
1; 487; 6; 2; 978; 972 
1; 488; 6; 2; 980; 974 
1; 489; 6; 2; 982; 976 
1; 490; 6; 2; 984; 978 
1; 491; 6; 2; 986; 980 
1; 492; 6; 2; 988; 982 
